step,reward,cumulative_reward,throughput,cumulative_throughput,avg_wait_time
1,-1.7,-1.7,0,0,0.0
2,-0.8,-2.5,0,0,0.0
3,-0.8,-3.3,0,0,0.0
4,-0.8,-4.1,0,0,0.0
5,-1.4,-5.5,0,0,0.0
6,-0.8,-6.3,0,0,0.0
7,-0.8,-7.1,0,0,0.0
8,-1.1,-8.2,0,0,0.0
9,-1.1,-9.299999999999999,0,0,0.0
10,-0.8,-10.1,0,0,0.0
11,-1.1,-11.2,0,0,0.0
12,-0.8,-12.0,0,0,0.0
13,-1.1,-13.1,0,0,0.0
14,-0.8,-13.9,0,0,0.0
15,-1.4,-15.3,0,0,0.0
16,-0.8,-16.1,0,0,0.0
17,-1.1,-17.200000000000003,0,0,0.0
18,-0.8,-18.000000000000004,0,0,0.0
19,-0.8,-18.800000000000004,0,0,0.0
20,-0.8,-19.600000000000005,0,0,0.0
21,-1.4,-21.000000000000004,0,0,0.0
22,-1.1,-22.100000000000005,0,0,0.0
23,-0.8,-22.900000000000006,0,0,0.0
24,-1.6,-24.500000000000007,0,0,0.041666666666666664
25,-2.7,-27.200000000000006,0,0,0.12
26,-2.6,-29.800000000000008,0,0,0.23076923076923078
27,-3.0999999999999996,-32.900000000000006,0,0,0.37037037037037035
28,-3.5999999999999996,-36.50000000000001,0,0,0.5357142857142857
29,-5.5,-42.00000000000001,0,0,0.7586206896551724
30,-0.8,-42.800000000000004,0,0,0.7333333333333333
31,-1.1,-43.900000000000006,0,0,0.7096774193548387
32,-0.8,-44.7,0,0,0.6875
33,-1.1,-45.800000000000004,0,0,0.6666666666666666
34,-1.6,-47.400000000000006,0,0,0.6764705882352942
35,-2.1,-49.50000000000001,0,0,0.7142857142857143
36,-3.7,-53.20000000000001,0,0,0.8055555555555556
37,-5.0,-58.20000000000001,0,0,0.9459459459459459
38,-5.3999999999999995,-63.60000000000001,0,0,1.131578947368421
39,-6.3999999999999995,-70.00000000000001,0,0,1.358974358974359
40,-3.5999999999999996,-73.60000000000001,0,0,1.45
41,-1.4,-75.00000000000001,0,0,1.4146341463414633
42,-0.8,-75.80000000000001,0,0,1.380952380952381
43,-1.1,-76.9,0,0,1.3488372093023255
